num_train_running,num_train_operational,num_dalian_train_running,num_dalian_train_operational,headway,entry,exit,temp,humidity,rain_1h,rain_3h
9.0,9.0,0.0,0.0,8.0,3450.0,0.0,26.64,90,1.39,0.0
15.0,15.0,1.0,0.0,7.0,5411.0,1129.0,28.5,59,0.0,0.0
15.0,15.0,1.0,0.0,7.0,4390.0,997.0,26.42,92,0.0,16.0
14.0,14.0,0.0,0.0,8.0,5308.0,1008.0,31.44,57,0.27,0.0
7.0,7.0,0.0,0.0,8.0,3163.0,1.0,31.75,57,0.12,0.0
6.0,6.0,0.0,0.0,9.0,952.0,1.0,32.81,53,0.0,0.0
15.0,15.0,1.0,0.0,7.0,3383.0,1023.0,29.51,61,0.0,2.0
14.0,14.0,0.0,0.0,8.0,4761.0,985.0,30.9,61,0.0,2.0
12.0,13.0,0.0,0.0,8.5,1513.0,916.0,27.58,86,0.0,0.0
12.0,13.0,0.0,0.0,8.5,2081.0,1120.0,29.41,72,0.0,0.0
12.0,13.0,0.0,0.0,8.5,830.0,159.0,32.51,53,0.0,0.0
12.0,13.0,0.0,0.0,8.5,2147.0,1044.0,29.04,76,0.0,0.0
12.0,12.0,0.0,0.0,8.5,6961.0,407.0,33.01,59,0.0,0.0
12.0,13.0,0.0,0.0,8.5,2259.0,1000.0,29.19,69,0.0,0.0
15.0,16.0,0.0,0.0,7.0,6961.0,407.0,32.4,48,0.0,0.0
12.0,13.0,0.0,0.0,8.5,3000.0,1268.0,28.36,73,0.0,0.0
15.0,15.0,0.0,0.0,7.0,1982.0,1974.0,27.37,86,0.0,0.0
15.0,15.0,1.0,0.0,7.0,3634.0,1108.0,28.48,69,0.0,0.0
9.0,9.0,0.0,0.0,7.0,3412.0,0.0,29.82,55,0.0,0.0
15.0,16.0,1.0,0.0,7.0,3455.0,1427.0,28.55,71,0.0,0.0
15.0,15.0,1.0,0.0,7.0,3429.0,1029.0,30.17,49,0.0,0.0
15.0,16.0,1.0,0.0,7.0,3327.0,1277.0,27.82,73,0.0,0.0
15.0,16.0,1.0,0.0,7.0,3616.0,1145.0,28.12,73,0.0,0.0
9.0,9.0,0.0,0.0,8.0,3242.0,0.0,32.43,47,0.0,0.0
8.0,8.0,0.0,0.0,8.0,1501.0,9.0,29.16,60,0.0,0.0
15.0,15.0,0.0,0.0,7.0,2568.0,368.0,29.16,60,0.0,0.0
15.0,16.0,1.0,0.0,7.0,3638.0,1392.0,27.76,68,0.0,0.0
15.0,16.0,1.0,0.0,7.0,3825.0,1008.0,29.88,51,0.0,0.0
15.0,16.0,1.0,0.0,7.0,2246.0,2278.0,26.9,78,0.0,0.0
15.0,15.0,1.0,0.0,7.0,2613.0,1536.0,28.52,63,0.0,0.0
12.0,12.0,0.0,0.0,8.5,658.0,0.0,30.5,55,0.0,0.0
12.0,13.0,1.0,0.0,8.5,2446.0,1098.0,27.24,72,0.0,0.0
12.0,13.0,1.0,0.0,8.5,2157.0,1608.0,25.23,84,0.0,0.0
